아파트ID,아파트명,지번주소,위도,경도,동수,세대수,임대수,용적률,건폐율,주차대수,건설사
143783,뉴캐슬(도시형),서울시 은평구 대조동 15-32,37.608802,126.92946,1,28,0,497,58,5,(주)중앙건설공사
172681,다스하우스(도시형),서울시 은평구 대조동 5-11,37.611578,126.928458,1,25,0,326,56,6,(주)에이치오엔건설
172682,다스하우스(주상복합),서울시 은평구 대조동 5-11,37.611562,126.928501,1,1,0,326,56,0,(주)에이치오엔건설
145142,대경아르체,서울시 은평구 대조동 26-14,37.609131,126.926426,1,70,0,359,51,38,씨에스종합건설(주)
137805,대경홈타운(도시형),서울시 은평구 대조동 9-45,37.610255,126.927431,1,26,0,480,54,3,(주)서우림종합건설
118921,대덕타워(도시형),서울시 은평구 대조동 185-71,37.617677,126.921528,1,54,0,489,59,8,스카이건설산업(주)
109182,대박(주상복합),서울시 은평구 대조동 186-22,37.617294,126.921947,1,6,0,427,59,2,(주)한울지앤씨
152557,대성에버빌,서울시 은평구 대조동 28-7,37.609846,126.927002,1,8,0,287,53,4,(주)다원종합건설
108180,대일아이안,서울시 은평구 대조동 9-25,37.60991,126.927377,1,19,0,477,59,20,(주)비엔텍건설
109439,대조리치빌III(도시형),서울시 은평구 대조동 4-8,37.611655,126.927975,1,27,0,498,59,16,(주)모던종합건설
152460,대조리치빌Ⅰ(도시형),서울시 은평구 대조동 4-10,37.611528,126.927968,1,18,0,495,52,3,정익개발(주)
111885,대조아트캐슬(주상복합),서울시 은평구 대조동 198-10,37.617845,126.920127,1,19,0,459,59,21,아시아건설(주)
112464,동명베스트,서울시 은평구 대조동 84-21,37.613556,126.92498,1,19,0,245,55,25,
119621,디안(89-258),서울시 은평구 대조동 89-258,37.609369,126.921336,1,14,0,244,43,14,디앤드앰건설주식회사
101848,디안(89-77),서울시 은평구 대조동 89-77,37.609278,126.921236,1,14,0,286,47,15,디앤드앰건설 주식회사
26972,만민하늘애,서울시 은평구 대조동 59-48,37.607445,126.92287,1,14,0,283,42,12,만민건설(주)
121155,메트하임(도시형),서울시 은평구 대조동 197-3,37.617613,126.921166,1,94,0,499,59,116,(주)서울건축피씨엠건설
111319,"모아(9-19,주상복합)",서울시 은평구 대조동 9-19,37.610211,126.927735,2,38,0,536,58,38,(주)서안주택
132245,모아(9-20),서울시 은평구 대조동 9-20,37.610131,126.927561,1,20,0,481,59,13,(주)서안주택
109899,"모아(9-21,주상복합)",서울시 은평구 대조동 9-21,37.610109,126.927396,1,18,0,498,54,14,(주)흥안종합건설
109344,"미래하임(172-132,주상복합)",서울시 은평구 대조동 172-132,37.609647,126.920268,1,12,0,249,39,10,(주)모던종합건설
107307,"미래하임(6-17,주상복합)",서울시 은평구 대조동 6-17,37.611284,126.927867,1,29,0,586,58,19,경성트래콘주식회사
109296,"미래하임(6-19,주상복합)",서울시 은평구 대조동 6-19,37.611042,126.927983,1,38,0,470,59,21,(주)모던종합건설
113517,"미래하임(9-46,도시형)",서울시 은평구 대조동 9-46,37.610071,126.927204,1,18,0,499,59,13,(주)비엔텍건설
119687,미르라이프(도시형),서울시 은평구 대조동 186-9,37.617374,126.922098,1,16,0,449,52,3,삼주건설(주)
112338,미소세상(도시형),서울시 은평구 대조동 6-21,37.610854,126.928099,1,22,0,497,59,13,미모아건설(주)
106249,벽산메트로시티(도시형),서울시 은평구 대조동 4-11,37.611645,126.927861,1,13,0,459,59,5,삼주건설주식회사
144767,"보성리엔빌(15-121,도시형)",서울시 은평구 대조동 15-121,37.60903,126.930629,1,19,0,496,59,9,(주)미르라이프종합건설
120520,"보성리엔빌(223-3,도시형)",서울시 은평구 대조동 223-3,37.612699,126.918051,1,8,0,299,56,4,엔트윈산업개발(주)
108336,부림베스트빌,서울시 은평구 대조동 191-24,37.614852,126.922945,1,19,0,263,49,24,(주)삼합종합건설
141570,북한산포레스트,서울시 은평구 대조동 179-16,37.607516,126.922112,1,44,0,349,57,22,미모아건설(주)
122942,삼성빌리지(도시형),서울시 은평구 대조동 28-14,37.609516,126.926466,1,8,0,358,50,3,(주)삼주지앤씨
164398,삼성빌리지원(도시형),서울시 은평구 대조동 27-3,37.609497,126.926362,1,8,0,358,54,6,엔트윈산업개발(주)
3818,삼성타운,서울시 은평구 대조동 231,37.608984,126.921614,2,357,0,341,35,383,삼성건설(주)
11373,삼오,서울시 은평구 대조동 204-1,37.615536,126.921613,1,12,0,276,56,15,(주)삼합종합건설
119086,서경(도시형),서울시 은평구 대조동 186-21,37.61736,126.921878,1,27,0,489,57,16,서경종합건설(주)
133282,서경(주상복합),서울시 은평구 대조동 15-58,37.609433,126.929636,1,35,0,499,58,18,서경종합건설 주식회사
146545,"서경하우스(26-11,도시형)",서울시 은평구 대조동 26-11,37.609347,126.926308,1,8,0,307,57,4,서경종합건설(주)
113640,"서경하우스(28-19,주상복합)",서울시 은평구 대조동 28-19,37.609848,126.926483,1,8,0,310,59,5,남광건설(주)
120254,서교아르체빌(도시형),서울시 은평구 대조동 4-5,37.611812,126.928033,1,21,0,460,58,8,(주)위산종합건설
121785,스타타운(주상복합),서울시 은평구 대조동 186-10,37.617488,126.922026,1,8,0,425,58,5,(주)대신종합건설
134909,스타타운3차(주상복합),서울시 은평구 대조동 26-10,37.609391,126.926491,1,8,0,406,59,5,용우종합건설(주)
12107,신세계드림빌,서울시 은평구 대조동 195-20,37.61643,126.921692,2,28,0,260,57,14,신세계드림건설(주)
102751,아이안,서울시 은평구 대조동 59-20,37.607923,126.922841,1,17,0,239,49,18,(주)양천씨앤씨
108567,아이안빌(도시형),서울시 은평구 대조동 4-18,37.611354,126.927628,1,29,0,487,57,21,경성트래곤(주)
119840,엘렌시아(도시형),서울시 은평구 대조동 219-3,37.615722,126.918712,1,12,0,249,31,9,주식회사조운종합개발
109256,영화(도시형),서울시 은평구 대조동 6-25,37.611085,126.92779,1,14,0,471,55,5,(주)신원아키텍
128386,영화노블레스(도시형),서울시 은평구 대조동 15-122,37.608954,126.930533,1,26,0,499,59,9,주식회사미르라이프종합건설
118714,영화타워(도시형),서울시 은평구 대조동 5-7,37.611608,126.928283,1,29,0,498,49,3,신복종합건설(주)
108399,예가크레시아(주상복합),서울시 은평구 대조동 6-13,37.61109,126.928266,1,34,0,496,59,23,(주)한울에이앤아이종합건설
109048,유성아이비,서울시 은평구 대조동 14-320,37.609561,126.928594,1,18,0,499,55,12,(주)해나임종합건설
128030,유진아이디움(도시형),서울시 은평구 대조동 197-1,37.617833,126.920752,1,92,0,493,59,44,유진건설산업(주)
111928,정은노블스(주상복합),서울시 은평구 대조동 197-9,37.617362,126.920485,1,8,0,331,59,6,(주)삼호이앤지
109936,"정익제이원(15-114,주상복합)",서울시 은평구 대조동 15-114,37.608791,126.929114,1,26,0,497,59,20,정익개발(주)
117484,"정익제이원(186-12,주상복합)",서울시 은평구 대조동 186-12,37.617574,126.921897,1,54,0,497,58,26,정익개발(주)
108417,"정익제이원(4-6,주상복합)",서울시 은평구 대조동 4-6,37.61171,126.928132,1,28,0,499,59,18,정익개발(주)
108683,정익제이원(6-26),서울시 은평구 대조동 6-26,37.610987,126.92786,1,27,0,499,59,19,정익개발(주)
147630,제이타워1(도시형),서울시 은평구 대조동 4-12,37.61147,126.927787,1,19,0,465,58,2,정익개발(주)
123176,제이타워3(도시형),서울시 은평구 대조동 4-14,37.611429,126.927913,1,17,0,499,55,3,정익개발(주)
121660,제이타워4(도시형),서울시 은평구 대조동 9-50,37.610446,126.927731,1,28,0,487,52,4,정익개발(주)
108671,주주베(도시형),서울시 은평구 대조동 9-14,37.610668,126.92851,2,133,0,466,59,27,(주)흥해종합건설
133211,"태경쉐르빌(224-7,도시형)",서울시 은평구 대조동 224-7,37.612058,126.917965,1,16,0,299,57,10,(주)은진종합건설
125212,트라움궁,서울시 은평구 대조동 84-5,37.614257,126.925976,1,10,0,231,49,5,엔트윈산업개발(주)
161499,파라곤하임,서울시 은평구 대조동 179-47,37.607118,126.922622,1,8,0,298,58,5,공릉종합건설
121901,호림리슈리안,서울시 은평구 대조동 172-75,37.609267,126.920716,1,29,0,249,43,23,(주)호림씨앤씨
